 ID │ State    │ Lvl │ Version               │ Name                                                                                                                                                                                                                                                                                           [165/197]
────┼──────────┼─────┼───────────────────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────── 
  0 │ Active   │   0 │ 5.6.12                │ System Bundle, Fragments: 1                                                                                                                                                                                                                                                                             
  1 │ Resolved │   1 │ 4.2.9                 │ Apache Karaf :: Features :: Extension, Hosts: 0                                                                                                                                                                                                                                                         
  2 │ Active   │   5 │ 2.6.2                 │ OPS4J Pax Url - mvn:                                                                                                                                                                                                                                                                                    
  3 │ Active   │   5 │ 4.2.9                 │ Apache Karaf :: OSGi Services :: EventAdmin                                                                                                                                                                                                                                                             
  4 │ Active   │   5 │ 1.2.2                 │ Apache Felix Metatype Service                                                                                                                                                                                                                                                                           
  5 │ Active   │   8 │ 1.11.6                │ OPS4J Pax Logging - API                                                                                                                                                                                                                                                                                 
  6 │ Active   │   8 │ 1.11.6                │ OPS4J Pax Logging - Log4Jv2 implementation, Fragments: 13                                                                                                                                                                                                                                               
  7 │ Active   │   8 │ 1.18.0                │ jansi                                                                                                                                                                                                                                                                                                   
  8 │ Active   │   9 │ 1.0.2                 │ Apache Felix Coordinator Service                                                                                                                                                                                                                                                                        
  9 │ Active   │  10 │ 1.9.16                │ Apache Felix Configuration Admin Service                                                                                                                                                                                                                                                                
 10 │ Active   │  11 │ 3.6.6                 │ Apache Felix File Install                                                                                                                                                                                                                                                                               
 11 │ Active   │  15 │ 4.2.9                 │ Apache Karaf :: Features :: Core                                                                                                                                                                                                                                                                        
 12 │ Active   │  80 │ 1.1.1.1               │ Apache ServiceMix :: Bundles :: kafka-clients                                                                                                                                                                                                                                                           
 13 │ Resolved │   7 │ 2.7.0                 │ onos-log4j2-extra, Hosts: 6                                                                                                                                                                                                                                                                             
 14 │ Active   │  30 │ 3.0.0                 │ Expression Language 3.0 API                                                                                                                                                                                                                                                                             
 15 │ Active   │  30 │ 3.1.0                 │ Java Servlet API                                                                                                                                                                                                                                                                                        
 16 │ Active   │  30 │ 1.1                   │ WebSocket server API                                                                                                                                                                                                                                                                                    
 17 │ Active   │  30 │ 1.1.5                 │ Apache Aries JMX API                                                                                                                                                                                                                                                                                    
 18 │ Active   │  30 │ 1.1.8                 │ Apache Aries JMX Core                                                                                                                                                                                                                                                                                   
 19 │ Active   │  30 │ 1.2.0                 │ Apache Aries Whiteboard support for JMX DynamicMBean services                                                                                                                                                                                                                                           
 20 │ Active   │  30 │ 1.2.3                 │ Apache Aries SPI Fly Dynamic Weaving Bundle                                                                                                                                                                                                                                                             
 21 │ Active   │  20 │ 1.1.3                 │ Apache Aries Util                                                                                                                                                                                                                                                                                       
 22 │ Active   │  30 │ 1.0.6                 │ Apache Felix Inventory                                                                                                                                                                                                                                                                                  
 23 │ Active   │  30 │ 2.1.20                │ Apache Felix Declarative Services                                                                                                                                                                                                                                                                       
 24 │ Active   │  30 │ 2.1.0                 │ Apache Felix Web Console Service Component Runtime/Declarative Services Plugin                                                                                                                                                                                                                          
